Designation,Semi-major axis (AU),Eccentricity,Inclination (deg),Mean Longitude (deg),Longitude of Perihelion (deg),Longitude of Ascending Node (deg),Radius (km),H (mag),PHA
419880,2.544852484112218,.671718731629755,9.654108010108956,64.8633007,322.3680884645924,102.1007723764128,.491,19.7,Y
419624,1.001227197385716,.07526233654602961,14.53051668089819,149.600236,108.5478816721714,40.48333158585379,.1785,20.5,Y
414772,1.194497757747742,.6720865825129757,23.11247639919777,196.3894255,178.287116072762,17.96489886803737,.733,19,N
414746,2.62428223140512,.522185488312686,23.85738533273192,326.3077723,207.6657668281303,120.692136806251,.900,18,N
407324,1.616303053370769,.5226774009873543,9.124691647737999,235.5760386,334.277129002051,261.0147348757297,.1405,20.7,N
398188,.8643765125863397,.2734523375751695,13.24793426549087,103.5168876,328.6109099778899,134.223129357717,.231,19.5,Y
395207,1.568206478539649,.4892936149178276,27.85143312591914,282.0925789,66.29481460962529,218.501699981195,.362,19.6,Y
386847,1.691832069093907,.4624059003171166,5.833927289569939,325.4107933,333.1739670412841,352.1171931850794,.3315,18,Y
381989,1.347227096410408,.4957232264077008,26.71522398867239,299.8254401,291.3052916971687,6.239557826416843,.3915,19.9,N
369454,1.373197413028767,.6463011088617056,32.77647537646887,192.1708382,37.81716836897939,159.0429189813736,.423,19.4,N
365449,.9682847087191292,.5406119088363704,11.22597398732094,126.8344515,358.5161714469116,128.2899023271461,.1075,20.3,N
365424,.9903348040606754,.1709820602717499,21.48324348478942,107.0914844,62.23915262045983,46.58689693784645,.106,21.9,Y
356394,2.009588430010504,.7854811989151665,10.63906525802096,247.0366395,125.8358345590829,120.7279905786401,.5355,17.4,N
2015 HF11,2.099026870951877,.4182113257560848,35.04280497180717,218.2225709,340.9389853693625,234.0179638296777,.5575,19.2,N
2015 GK50,3.076547699086853,.6648871423597394,19.07404592595192,229.3591965,73.41482824736281,156.8505506196044,.330,20.5,N
2015 GJ46,2.898309322500597,.7695754232537568,18.25821955420273,103.9874947,198.5381963487258,266.3232119827425,N/A,19.3,N
2015 FT344,2.546860891981311,.5728039239361343,12.55065088118422,255.3400779,288.5481224898949,326.3700029527225,.3765,20.5,N
2015 FD341,.955102922993717,.674990458936567,20.54784782086025,73.147627,66.93123790918381,7.605013693927836,.624,18,N
