full_name,a,e,I,longNode,longPeri,q,ad,per_y,data_arc,condition_code,n_obs_used,H,pha
1P/Halley,17.93,0.9679,162.2,59.07,112.21,0.575,35.28,75.9,57852.0,0.0,8518,-1.0,0
2P/Encke,2.22,0.8484,11.48,334.29,187.03,0.337,4.1,3.31,2133.0,1.0,570,-1.0,0
3D/Biela,3.535,0.7513,13.22,250.67,221.66,0.879,6.19,6.65,-1.0,-1.0,26,-1.0,0
5D/Brorsen,3.101,0.8098,29.38,102.97,14.95,0.59,5.61,5.46,-1.0,-1.0,127,-1.0,0
7P/Pons-Winnecke,3.419,0.6376,22.33,93.42,172.51,1.239,5.6,6.32,37122.0,0.0,1679,-1.0,0
8P/Tuttle,5.7,0.8198,54.98,270.34,207.51,1.027,10.37,13.6,20161.0,0.0,1768,-1.0,0
12P/Pons-Brooks,17.18,0.9546,74.19,255.86,198.99,0.781,33.59,71.2,26006.0,0.0,8017,-1.0,0
13P/Olbers,16.66,0.9298,44.63,85.84,64.58,1.17,32.16,68.0,50051.0,0.0,2184,-1.0,0
15P/Finlay,3.49,0.7202,6.8,13.75,347.63,0.977,6.0,6.52,5058.0,0.0,1655,-1.0,0
18D/Perrine-Mrkos,3.56,0.6426,17.76,240.88,166.05,1.272,5.85,6.72,2584.0,1.0,16,-1.0,0
20D/Westphal,15.64,0.9198,40.89,348.01,57.08,1.254,30.03,61.9,22321.0,0.0,201,-1.0,0
21P/Giacobini-Zinner,3.5,0.7105,32.0,195.4,172.81,1.013,5.99,6.55,4786.0,0.0,1988,-1.0,0
23P/Brorsen-Metcalf,17.07,0.972,19.33,311.59,129.61,0.479,33.66,70.5,51904.0,0.0,223,-1.0,0
24P/Schaumasse,4.086,0.7048,11.73,79.67,58.0,1.206,6.97,8.26,6464.0,3.0,832,-1.0,0
26P/Grigg-Skjellerup,3.027,0.6391,22.47,211.66,1.8,1.093,4.96,5.27,6110.0,0.0,501,-1.0,0
27P/Crommelin,9.093,0.9193,29.22,250.96,195.96,0.734,17.45,27.4,20203.0,0.0,455,-1.0,0
34D/Gale,4.944,0.7607,11.73,67.92,209.16,1.183,8.7,11.0,-1.0,-1.0,47,-1.0,0
35P/Herschel-Rigollet,28.84,0.974,64.21,355.98,29.3,0.748,56.94,155.0,-1.0,-1.0,75,-1.0,0
41P/Tuttle-Giacobini-Kresak,3.085,0.6613,9.23,141.06,62.17,1.045,5.13,5.42,2498.0,3.0,4300,-1.0,0
45P/Honda-Mrkos-Pajdusakova,3.026,0.824,4.25,88.93,326.34,0.533,5.52,5.26,2067.0,1.0,1823,-1.0,0
46P/Wirtanen,3.093,0.6588,11.75,82.16,356.34,1.055,5.13,5.44,3693.0,2.0,4224,-1.0,0
55P/Tempel-Tuttle,10.34,0.9056,162.49,235.27,172.5,0.976,19.7,33.2,48407.0,-1.0,392,-1.0,0
66P/du Toit,6.023,0.7866,18.67,22.0,257.34,1.285,10.76,14.8,16304.0,0.0,547,-1.0,0
67P/Churyumov-Gerasimenko,3.462,0.6409,7.04,50.14,12.8,1.243,5.68,6.44,5442.0,0.0,8608,-1.0,0
72P/Denning-Fujikawa,4.347,0.8205,9.23,35.44,338.47,0.781,7.91,9.06,16324.0,1.0,66,-1.0,0
